,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
42352,I192033560,3114,Investigate Property,INVESTIGATE PROPERTY,E5,550,,2019-05-06 15:30:00,2019,5,Monday,15,Part Three,BLUE LEDGE DR,42.27620181,-71.13788919,"(42.27620181, -71.13788919)"
351907,I162023288,3114,Investigate Property,INVESTIGATE PROPERTY,B2, ,,2016-03-25 23:47:00,2016,3,Friday,23,Part Three,,,,"(0.00000000, 0.00000000)"
265151,I172009873,3115,Investigate Person,INVESTIGATE PERSON,D14,791,,2017-02-05 21:50:00,2017,2,Sunday,21,Part Three,COREY RD,42.3437315,-71.13875811,"(42.34373150, -71.13875811)"
120905,I182054966,3125,Warrant Arrests,WARRANT ARREST,C11,257,,2019-03-11 16:53:00,2019,3,Monday,16,Part Three,TREMONT ST,42.356584999999995,-71.06189505,"(42.35658500, -71.06189505)"
99512,I182077603,2647,Other,THREATS TO DO BODILY HARM,E13,581,,2018-09-25 17:00:00,2018,9,Tuesday,17,Part Two,CENTRE ST,42.32291406,-71.10328402,"(42.32291406, -71.10328402)"
55209,I192019901,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,239,,2019-03-17 21:19:00,2019,3,Sunday,21,Part Two,BELDEN SQ,42.31775075,-71.06497408,"(42.31775075, -71.06497408)"
130895,I182044554,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,237,Y,2018-06-09 00:45:00,2018,6,Saturday,0,Part One,ELDER ST,42.32022882,-71.06307063,"(42.32022882, -71.06307063)"
73189,I192001082,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C6,194,,2019-01-04 17:37:00,2019,1,Friday,17,Part Three,DORCHESTER ST,42.3301111,-71.05611033,"(42.33011110, -71.05611033)"
772,I192077744,3410,Towed,TOWED MOTOR VEHICLE,B2,611,,2019-09-26 11:42:00,2019,9,Thursday,11,Part Three,HUNTINGTON AVE,42.33296171,-71.1104193,"(42.33296171, -71.11041930)"
136756,I182038380,3301,Verbal Disputes,VERBAL DISPUTE,B3,464,,2018-05-20 12:27:00,2018,5,Sunday,12,Part Three,BLUE HILL AVE,42.28822289,-71.09027227,"(42.28822289, -71.09027227)"
268221,I172006577,3125,Warrant Arrests,WARRANT ARREST,C11,352,,2017-01-25 07:41:00,2017,1,Wednesday,7,Part Three,ARCADIA ST,42.30183841,-71.06127819,"(42.30183841, -71.06127819)"
20372,I192056686,301,Robbery,ROBBERY - STREET,A7,26,,2019-07-22 21:00:00,2019,7,Monday,21,Part One,BORDER ST,42.37620267,-71.03979926,"(42.37620267, -71.03979926)"
202479,I172076511,1402,Vandalism,VANDALISM,B2,329,,2017-09-14 19:29:00,2017,9,Thursday,19,Part Two,COLUMBIA RD,42.30733393,-71.0763704,"(42.30733393, -71.07637040)"
243251,I172033174,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,336,,2017-04-28 16:51:00,2017,4,Friday,16,Part Two,NORTON ST,42.30626521,-71.06864556,"(42.30626521, -71.06864556)"
53702,I192021482,3115,Investigate Person,INVESTIGATE PERSON,D4,623,,2019-03-23 19:15:00,2019,3,Saturday,19,Part Three,BROOKLINE AVE,42.34811745,-71.0975768,"(42.34811745, -71.09757680)"
309922,I162068268,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,D4, ,,2016-08-23 05:43:00,2016,8,Tuesday,5,Part Three,,,,"(0.00000000, 0.00000000)"
82003,I182096611,301,Robbery,ROBBERY - STREET,B2,330,,2018-11-30 03:00:00,2018,11,Friday,3,Part One,CASTLEGATE RD,42.30700371,-71.08313157,"(42.30700371, -71.08313157)"
10751,I192066896,3111,License Violation,LICENSE PREMISE VIOLATION,A1,75,,2019-08-24 01:52:00,2019,8,Saturday,1,Part Three,PORTLAND ST,42.3642384,-71.06165515,"(42.36423840, -71.06165515)"
258775,I172016578,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,322,,2017-03-01 15:39:00,2017,3,Wednesday,15,Part Two,WARREN ST,42.31381471,-71.08368372,"(42.31381471, -71.08368372)"
109984,I182066584,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,478,,2018-08-15 12:00:00,2018,8,Wednesday,12,Part Two,RUSKINDALE RD,42.26889666,-71.1081375,"(42.26889666, -71.10813750)"
356486,I162018338,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",D4,157,,2016-03-08 19:19:00,2016,3,Tuesday,19,Part Two,W NEWTON ST,42.34063708,-71.07572281,"(42.34063708, -71.07572281)"
210649,I172067868,1805,Drug Violation,DRUGS - CLASS A TRAFFICKING OVER 18 GRAMS,B2,311,,2017-08-17 16:50:00,2017,8,Thursday,16,Part Two,MAYWOOD ST,42.31679542,-71.07964562,"(42.31679542, -71.07964562)"
128271,I182047292,2657,Other,VIOLATION - CITY ORDINANCE,B3,442,,2018-06-17 21:58:00,2018,6,Sunday,21,Part Two,TALBOT AVE,42.29338283,-71.08277625,"(42.29338283, -71.08277625)"
242937,I172033496,3114,Investigate Property,INVESTIGATE PROPERTY,D4,162,,2017-04-29 16:30:00,2017,4,Saturday,16,Part Three,HERALD ST,42.34675589,-71.0652127,"(42.34675589, -71.06521270)"
418835,I152058144,3114,Investigate Property,INVESTIGATE PROPERTY,B2,265,,2015-07-14 09:21:00,2015,7,Tuesday,9,Part Three,COPELAND ST,42.32282213,-71.07984061,"(42.32282213, -71.07984061)"
403875,I152074625,2405,Disorderly Conduct,DISORDERLY CONDUCT,B3, ,,2015-09-08 14:58:00,2015,9,Tuesday,14,Part Two,,,,"(0.00000000, 0.00000000)"
223406,I172054381,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A1,108,,2017-07-05 22:44:00,2017,7,Wednesday,22,Part Two,FRANKLIN ST,42.35556002,-71.05609921,"(42.35556002, -71.05609921)"
107435,I182069269,1402,Vandalism,VANDALISM,A1,69,,2018-08-28 21:00:00,2018,8,Tuesday,21,Part Two,LIME ST,42.35722239,-71.0712032,"(42.35722239, -71.07120320)"
158346,I182015661,3201,Property Lost,PROPERTY - LOST,B2,290,,2018-02-26 15:00:00,2018,2,Monday,15,Part Three,MALCOLM X BLVD,42.33132876,-71.09378217,"(42.33132876, -71.09378217)"
107625,I182069067,616,Larceny,LARCENY THEFT OF BICYCLE,D4, ,,2018-08-28 13:30:00,2018,8,Tuesday,13,Part One,DARTMOUTH ST,,,"(0.00000000, 0.00000000)"
204995,I172073833,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B3,439,,2017-09-05 22:00:00,2017,9,Tuesday,22,Part Two,STRATTON ST,42.28928493,-71.08667781,"(42.28928493, -71.08667781)"
265904,I172009065,2647,Other,THREATS TO DO BODILY HARM,B2,317,,2017-02-02 16:51:00,2017,2,Thursday,16,Part Two,HUMBOLDT AVE,42.31283412,-71.08974712,"(42.31283412, -71.08974712)"
68036,I192006500,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,D14, ,,2019-01-25 11:31:00,2019,1,Friday,11,Part Three,CAMBRIDGE ST,,,"(0.00000000, 0.00000000)"
9005,I192068803,3114,Investigate Property,INVESTIGATE PROPERTY,C6,222,,2019-08-29 22:10:00,2019,8,Thursday,22,Part Three,E BROADWAY,42.33561661,-71.03641895,"(42.33561661, -71.03641895)"
346810,I162028746,613,Larceny,LARCENY SHOPLIFTING,D4,141,,2016-04-13 17:33:00,2016,4,Wednesday,17,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
36790,I192039308,3301,Verbal Disputes,VERBAL DISPUTE,B2,300,,2019-05-26 04:20:00,2019,5,Sunday,4,Part Three,CEDAR ST,42.32541109,-71.09141411,"(42.32541109, -71.09141411)"
393957,I152085308,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A7,942,,2015-10-14 02:19:00,2015,10,Wednesday,2,Part Three,WALDEMAR AVE,42.39348242,-71.01068177,"(42.39348242, -71.01068177)"
141205,I182033706,562,Other Burglary,BURGLARY - OTHER - NO FORCE,D4,627,,2018-05-04 16:45:00,2018,5,Friday,16,Part One,BOYLSTON ST,42.34442266,-71.09833083,"(42.34442266, -71.09833083)"
270197,I172004482,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,E13,581,,2017-01-17 18:19:00,2017,1,Tuesday,18,Part Three,CENTRE ST,42.32291406,-71.10328402,"(42.32291406, -71.10328402)"
338363,I162037857,3207,Property Found,PROPERTY - FOUND,A7,10,,2016-05-15 08:00:00,2016,5,Sunday,8,Part Three,ASHLEY ST,42.38923814,-71.01065152,"(42.38923814, -71.01065152)"
398917,I152079957,3502,Missing Person Located,MISSING PERSON - LOCATED,E18,479,,2015-09-25 09:00:00,2015,9,Friday,9,Part Three,RUGBY RD,42.26989589,-71.10413576,"(42.26989589, -71.10413576)"
286810,I162092971,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,327,,2016-11-12 23:00:00,2016,11,Saturday,23,Part Three,SARGENT ST,42.31598379,-71.07385464,"(42.31598379, -71.07385464)"
371455,I162002190,617,Larceny,LARCENY THEFT FROM BUILDING,A1,105,,2016-01-08 18:27:00,2016,1,Friday,18,Part One,FRUIT ST,42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
72764,I192001519,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,132,,2019-01-05 21:30:00,2019,1,Saturday,21,Part One,CLARENDON ST,42.3532399,-71.07646853,"(42.35323990, -71.07646853)"
33352,I192043006,3208,Property Lost,PROPERTY - MISSING,E5,563,,2019-06-01 11:26:00,2019,6,Saturday,11,Part Three,SOUTH ST,42.29056228,-71.12500267,"(42.29056228, -71.12500267)"
245581,I172030672,301,Robbery,ROBBERY - STREET,B3,418,,2017-04-19 22:43:00,2017,4,Wednesday,22,Part One,MORTON ST,42.280612299999994,-71.08350146,"(42.28061230, -71.08350146)"
45041,I192030735,2629,Harassment,HARASSMENT,D4,129,,2019-04-26 12:00:00,2019,4,Friday,12,Part Two,BOYLSTON ST,42.35157076,-71.07186599,"(42.35157076, -71.07186599)"
46259,I192029407,3114,Investigate Property,INVESTIGATE PROPERTY,B3,466,,2019-04-21 22:44:00,2019,4,Sunday,22,Part Three,DEERING RD,42.28553308,-71.09580077,"(42.28553308, -71.09580077)"
283338,I162096741,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,65,,2016-11-27 01:58:00,2016,11,Sunday,1,Part Three,BLOSSOM ST,42.3616972,-71.06685878,"(42.36169720, -71.06685878)"
217624,I172060496,3125,Warrant Arrests,WARRANT ARREST,D4,130,,2017-07-25 21:52:00,2017,7,Tuesday,21,Part Three,HUNTINGTON AVE,42.34749899,-71.07925506,"(42.34749899, -71.07925506)"
182675,I172097490,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E13,571,,2017-11-22 15:34:26,2017,11,Wednesday,15,Part Three,SIGOURNEY ST,42.30953689,-71.09826249,"(42.30953689, -71.09826249)"
102665,I182074306,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,430,,2018-09-14 19:00:00,2018,9,Friday,19,Part One,ASHTON ST,42.28514626,-71.0899961,"(42.28514626, -71.08999610)"
123028,I182052749,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,449,,2018-07-05 09:00:00,2018,7,Thursday,9,Part One,WHEATLAND AVE,42.29286008,-71.07617677,"(42.29286008, -71.07617677)"
219975,I172057998,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4, ,,2017-07-16 21:30:00,2017,7,Sunday,21,Part Three,HUNTINGTON AVE,,,"(0.00000000, 0.00000000)"
408220,I152069821,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,596,,2015-08-23 08:36:00,2015,8,Sunday,8,Part One,BEACON ST,42.35055412,-71.09056227,"(42.35055412, -71.09056227)"
188337,I172091535,2647,Other,THREATS TO DO BODILY HARM,B2,311,,2017-11-01 23:55:00,2017,11,Wednesday,23,Part Two,BLUE HILL AVE,42.31656425,-71.07811557,"(42.31656425, -71.07811557)"
250462,I172025396,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,571,,2017-04-01 22:38:00,2017,4,Saturday,22,Part Three,FOREST HILLS ST,42.30997676,-71.10238547,"(42.30997676, -71.10238547)"
222362,I172055459,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,B2,332,,2017-07-09 18:35:00,2017,7,Sunday,18,Part Three,BIRD ST,42.31472025,-71.06654089,"(42.31472025, -71.06654089)"
98456,I182078703,3114,Investigate Property,INVESTIGATE PROPERTY,B2,280,,2018-09-29 03:14:00,2018,9,Saturday,3,Part Three,HARRISON AVE,42.33087019,-71.08115673,"(42.33087019, -71.08115673)"
47734,I192027811,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,D4,149,,2019-04-15 12:35:00,2019,4,Monday,12,Part Three,COLUMBUS AVE,42.34657497,-71.0743865,"(42.34657497, -71.07438650)"
401789,I152076834,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,794,,2015-09-15 18:48:00,2015,9,Tuesday,18,Part Three,LONG AVE,42.34877998,-71.13550134,"(42.34877998, -71.13550134)"
215105,I172063152,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,680,,2017-08-03 04:20:00,2017,8,Thursday,4,Part Three,POPLAR ST,42.28630092,-71.12883623,"(42.28630092, -71.12883623)"
292381,I162087128,2646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B3,428,,2016-10-24 13:25:00,2016,10,Monday,13,Part Two,BLUE HILL AVE,42.28282878,-71.0918249,"(42.28282878, -71.09182490)"
170218,I182003117,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,611,,2018-01-12 13:20:00,2018,1,Friday,13,Part Three,FENWOOD RD,42.33511654,-71.10767674,"(42.33511654, -71.10767674)"
84442,I182093942,3201,Property Lost,PROPERTY - LOST,A1,111,,2018-11-18 17:06:00,2018,11,Sunday,17,Part Three,TREMONT ST,42.35311007,-71.06432264,"(42.35311007, -71.06432264)"
387928,I152091867,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,521,,2015-11-05 11:45:00,2015,11,Thursday,11,Part One,DANA AVE,42.25326734,-71.12385963,"(42.25326734, -71.12385963)"
314530,I162063362,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,66,,2016-08-07 14:13:00,2016,8,Sunday,14,Part Three,GROVE ST,42.36077179,-71.0687235,"(42.36077179, -71.06872350)"
370784,I162002961,3501,Missing Person Reported,MISSING PERSON,B2,312,,2016-01-12 19:19:00,2016,1,Tuesday,19,Part Three,HOLWORTHY ST,42.31632131,-71.0892305,"(42.31632131, -71.08923050)"
82608,I182095980,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,E18,521,,2018-11-28 15:38:00,2018,11,Wednesday,15,Part Two,HYDE PARK AVE,42.25466263,-71.12430955,"(42.25466263, -71.12430955)"
113101,I182063249,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B2,276,,2018-08-07 12:00:00,2018,8,Tuesday,12,Part Two,RUGGLES ST,42.33125913,-71.08301192,"(42.33125913, -71.08301192)"
66643,I192007919,1402,Vandalism,VANDALISM,C11,358,,2019-01-29 20:00:00,2019,1,Tuesday,20,Part Two,LINDSEY ST,42.29768517,-71.06841896,"(42.29768517, -71.06841896)"
190373,I172089341,617,Larceny,LARCENY THEFT FROM BUILDING,C11,356,,2017-10-25 21:00:00,2017,10,Wednesday,21,Part One,DORCHESTER AVE,42.29919694,-71.06046974,"(42.29919694, -71.06046974)"
265639,I172009341,3114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2017-02-03 17:32:00,2017,2,Friday,17,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
49312,I192026140,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,462,,2019-04-07 18:30:00,2019,4,Sunday,18,Part Three,GENEVA AVE,42.30461251,-71.07296566,"(42.30461251, -71.07296566)"
40236,I192035730,2629,Harassment,HARASSMENT,C11,340,,2019-05-14 10:03:00,2019,5,Tuesday,10,Part Two,MOUNT IDA RD,42.30480488,-71.06421426,"(42.30480488, -71.06421426)"
101021,I182076058,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D4,168,,2018-09-20 15:46:00,2018,9,Thursday,15,Part Two,E CONCORD ST,42.33791505,-71.07494606,"(42.33791505, -71.07494606)"
417423,I152059709,3001,Medical Assistance,DEATH INVESTIGATION,B3,414,,2015-07-19 17:13:00,2015,7,Sunday,17,Part Three,SAINT GREGORY ST,42.27583546,-71.07012459999999,"(42.27583546, -71.07012460)"
302675,I162076119,3301,Verbal Disputes,VERBAL DISPUTE,C11,352,,2016-09-17 22:03:00,2016,9,Saturday,22,Part Three,LEROY ST,42.30095488,-71.06537601,"(42.30095488, -71.06537601)"
237520,I172039241,3114,Investigate Property,INVESTIGATE PROPERTY,B2,326,,2017-05-18 17:50:00,2017,5,Thursday,17,Part Three,INTERVALE ST,42.31141864,-71.07964759999999,"(42.31141864, -71.07964760)"
386600,I152093369,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B3,465,,2015-11-10 11:58:00,2015,11,Tuesday,11,Part Three,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482577, -71.09137369)"
205239,I172073574,3402,Service,ANIMAL INCIDENTS,D4,134,,2017-09-05 14:06:00,2017,9,Tuesday,14,Part Three,NEWBURY ST,42.35118005,-71.07666607,"(42.35118005, -71.07666607)"
293897,I162085484,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,567,,2016-10-18 19:32:00,2016,10,Tuesday,19,Part Three,FOREST HILLS ST,42.30492239,-71.10298073,"(42.30492239, -71.10298073)"
32019,I192044451,617,Larceny,LARCENY THEFT FROM BUILDING,D4,159,,2019-06-12 05:46:00,2019,6,Wednesday,5,Part One,UPTON ST,42.34243222,-71.07225766,"(42.34243222, -71.07225766)"
42379,I192033534,3410,Towed,TOWED MOTOR VEHICLE,B2, ,,2019-05-06 16:59:00,2019,5,Monday,16,Part Three,BLUE HILL AVE,,,"(0.00000000, 0.00000000)"
384927,I152095255,3502,Missing Person Located,MISSING PERSON - LOCATED,E18,533,,2015-11-16 15:30:00,2015,11,Monday,15,Part Three,RIVER ST,42.24973808,-71.13094002,"(42.24973808, -71.13094002)"
246731,I172029410,724,Auto Theft,AUTO THEFT,A1,100,,2017-04-15 00:30:00,2017,4,Saturday,0,Part One,BROAD ST,42.35850919,-71.05429726,"(42.35850919, -71.05429726)"
291564,I162087972,3001,Medical Assistance,DEATH INVESTIGATION,E13,607,,2017-04-06 14:54:00,2017,4,Thursday,14,Part Three,HEATH ST,42.32665471,-71.10679596,"(42.32665471, -71.10679596)"
165919,I182007618,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,435,,2018-01-29 12:41:00,2018,1,Monday,12,Part Two,PEACEVALE RD,42.28716674,-71.07633479,"(42.28716674, -71.07633479)"
317969,I162059649,619,Larceny,LARCENY ALL OTHERS,A1,120,,2016-07-22 22:00:00,2016,7,Friday,22,Part One,BOYLSTON ST,42.35241815,-71.06525499,"(42.35241815, -71.06525499)"
254741,I172020841,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,319,,2017-03-17 13:30:00,2017,3,Friday,13,Part Three,,42.30538115,-71.08527061,"(42.30538115, -71.08527061)"
149614,I182024924,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,346,,2018-04-04 01:12:00,2018,4,Wednesday,1,Part Three,ADAMS ST,42.30569111,-71.06164783,"(42.30569111, -71.06164783)"
424309,I152051962,2670,Criminal Harassment,CRIMINAL HARASSMENT,D4,272,,2015-06-23 15:00:00,2015,6,Tuesday,15,Part Two,E LENOX ST,42.33486614,-71.07855179999999,"(42.33486614, -71.07855180)"
412968,I152064635,3207,Property Found,PROPERTY - FOUND,E13,607,,2015-08-05 10:41:00,2015,8,Wednesday,10,Part Three,S HUNTINGTON AVE,42.32639844,-71.11152626,"(42.32639844, -71.11152626)"
344914,I162030752,3125,Warrant Arrests,WARRANT ARREST,A1,102,,2016-04-20 19:44:00,2016,4,Wednesday,19,Part Three,TREMONT ST,42.35637531,-71.06213513,"(42.35637531, -71.06213513)"
57432,I192017559,1402,Vandalism,VANDALISM,B2,282,,2019-03-09 02:06:00,2019,3,Saturday,2,Part Two,WASHINGTON ST,42.32866284,-71.08563401,"(42.32866284, -71.08563401)"
220104,I172057864,3301,Verbal Disputes,VERBAL DISPUTE,E18,540,,2017-07-17 14:40:00,2017,7,Monday,14,Part Three,SUNNYSIDE ST,42.25137716,-71.13295048,"(42.25137716, -71.13295048)"
204250,I172074615,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,A1, ,,2017-09-08 18:36:00,2017,9,Friday,18,Part Two,,,,"(0.00000000, 0.00000000)"
16943,I192060289,3502,Missing Person Located,MISSING PERSON - LOCATED,B3,446,,2019-08-03 09:20:00,2019,8,Saturday,9,Part Three,ATHELWOLD ST,42.29603943,-71.07717023,"(42.29603943, -71.07717023)"
215919,I172062295,2616,Other,POSSESSION OF BURGLARIOUS TOOLS,D4, ,,2017-07-31 16:41:00,2017,7,Monday,16,Part Two,TREMONT ST,,,"(0.00000000, 0.00000000)"
20485,I192056566,3830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,B2,602,,2019-07-22 15:07:00,2019,7,Monday,15,Part Three,HUNTINGTON AVE,42.334115000000004,-71.104716,"(42.33411500, -71.10471600)"
245974,I172030248,3114,Investigate Property,INVESTIGATE PROPERTY,A1,61,,2017-04-18 16:34:00,2017,4,Tuesday,16,Part Three,FLEET CENTER PL,42.36646326,-71.06067801,"(42.36646326, -71.06067801)"
398435,I152080489,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A15,55,,2015-09-27 11:07:00,2015,9,Sunday,11,Part Three,PEARL ST,42.37875672,-71.06427355,"(42.37875672, -71.06427355)"
327319,I162049582,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,465,,2016-06-22 15:10:00,2016,6,Wednesday,15,Part One,BAIRD ST,42.28574986,-71.09215334,"(42.28574986, -71.09215334)"
141881,I182033006,3125,Warrant Arrests,WARRANT ARREST,E5,720,,2018-05-02 14:53:00,2018,5,Wednesday,14,Part Three,CENTRE ST,42.28143262,-71.15801301,"(42.28143262, -71.15801301)"
234515,I172042524,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,C11,337,,2017-05-29 19:50:00,2017,5,Monday,19,Part Two,EVERTON ST,42.30481467,-71.07218295,"(42.30481467, -71.07218295)"
205132,I172073680,3125,Warrant Arrests,WARRANT ARREST,A1,116,,2017-09-05 20:40:00,2017,9,Tuesday,20,Part Three,EDINBORO ST,42.35207238,-71.05975342,"(42.35207238, -71.05975342)"
210826,I172067689,3301,Verbal Disputes,VERBAL DISPUTE,B3,446,,2017-08-17 06:41:00,2017,8,Thursday,6,Part Three,HARVARD ST,42.29742382,-71.07620502,"(42.29742382, -71.07620502)"
128604,I182046945,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A1, ,,2018-06-16 14:08:00,2018,6,Saturday,14,Part One,BEACON ST,,,"(0.00000000, 0.00000000)"
423367,I152053017,619,Larceny,LARCENY ALL OTHERS,C6,175,,2015-06-26 20:40:00,2015,6,Friday,20,Part One,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.33210843, -71.07014395)"
277577,I162103050,3821,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,D4,622,,2016-12-18 19:56:00,2016,12,Sunday,19,Part Three,BAY STATE RD,42.35031698,-71.10036802,"(42.35031698, -71.10036802)"
